postcode,stroke_team,ssnap_name,hospital_city,use_ivt,use_mt,lsoa,lsoa_code,region,region_code,region_type,country,icb,icb_code,isdn
RM70AG,Havering and Redbridge University Hospitals NHS Trust,Queens Hospital Romford HASU,Romford,1,1,Havering 017C,E01002248,NHS North East London ICB - A3A8R,E38000255,SICBL,England,NHS North East London Integrated Care Board,E54000029,London
E11BB,The Royal London Hospital,Royal London Hospital HASU,Royal London,1,1,Tower Hamlets 017A,E01004322,NHS North East London ICB - A3A8R,E38000255,SICBL,England,NHS North East London Integrated Care Board,E54000029,London
SW66SX,"Charing Cross Hospital, London",Charing Cross Hospital HASU,Charing Cross,1,1,Hammersmith and Fulham 022C,E01001906,NHS North West London ICB - W2U3Z,E38000256,SICBL,England,NHS North West London Integrated Care Board,E54000027,London
SE59RW,"King's College Hospital, London",King's College Hospital HASU,Kings College,1,1,Lambeth 014C,E01003076,NHS South East London ICB - 72Q,E38000244,SICBL,England,NHS South East London Integrated Care Board,E54000030,London
BR68ND,Princess Royal University Hospital,Princess Royal University Hospital HASU,Princess Royal,1,0,Bromley 036C,E01000751,NHS South East London ICB - 72Q,E38000244,SICBL,England,NHS South East London Integrated Care Board,E54000030,London
HA13UJ,"Northwick Park Hospital, Harrow",Northwick Park Hospital HASU,Harrow,1,0,Brent 008D,E01000568,NHS North West London ICB - W2U3Z,E38000256,SICBL,England,NHS North West London Integrated Care Board,E54000027,London
SW170QT,"St George's Hospital, London",St George's Hospital HASU,St George’s,1,1,Wandsworth 034D,E01004617,NHS South West London ICB - 36L,E38000245,SICBL,England,NHS South West London Integrated Care Board,E54000031,London
NW12BU,"University College London Hospital, London",University College Hospital HASU,UCL,1,1,Camden 026D,E01000854,NHS North Central London ICB - 93C,E38000240,SICBL,England,NHS North Central London Integrated Care Board,E54000028,London
DE223NE,Royal Derby Hospital,Royal Derby Hospital,Derby,1,0,Derby 017C,E01013542,NHS Derby and Derbyshire ICB - 15M,E38000261,SICBL,England,NHS Derby and Derbyshire Integrated Care Board,E54000058,East Midlands
NN15BD,Northampton General Hospital,Northampton General Hospital,Northampton,1,0,Northampton 025A,E01027223,NHS Northamptonshire ICB - 78H,E38000262,SICBL,England,NHS Northamptonshire Integrated Care Board,E54000059,East Midlands
NG72UH,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Nottingham,1,1,Nottingham 031I,E01033410,NHS Nottingham and Nottinghamshire ICB - 52R,E38000243,SICBL,England,NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,East Midlands
